date,year,month,season,state,state_abbr,primary_mode,etiology,serotype_or_genotype,ifsac_category,setting,illnesses,hospitalizations,deaths,outbreak_severity,food_vehicle_missing,water_exposure,water_exposure_missing,water_type,water_type_group,animal_type,animal_group,is_food_related,is_water_related,is_animal_related
1971-09-01,1971,9,Fall,North Carolina,NC,Water,Hepatitis A,Not Applicable,Not Applicable,Private home/residence,2,-0.18460740711594367,-0.0910808702943546,1.7243117225897018,Missing,Drinking water,Present,Individual/Private,Drinking/Community Water,Not Applicable,Missing/NA,0,1,0
1971-09-01,1971,9,Fall,North Carolina,NC,Water,Unknown,Not Applicable,Not Applicable,Mobile home/trailer park,38,-0.18460740711594367,2.348211823381791,40.16360441626585,Missing,Drinking water,Present,Community,Drinking/Community Water,Not Applicable,Missing/NA,0,1,0
1971-11-01,1971,11,Fall,Oklahoma,OK,Water,Hepatitis A,Not Applicable,Not Applicable,Community/municipality,50,-0.18460740711594367,-0.0910808702943546,49.724311722589704,Missing,Drinking water,Present,Community,Drinking/Community Water,Not Applicable,Missing/NA,0,1,0
1971-11-01,1971,11,Fall,New York,NY,Water,Unknown,Not Applicable,Not Applicable,Restaurant,750,-0.18460740711594367,-0.0910808702943546,749.7243117225897,Missing,Drinking water,Present,Other,Natural/Other,Not Applicable,Missing/NA,0,1,0
1971-11-01,1971,11,Fall,Alaska,AK,Water,Shigella sonnei,Not Applicable,Not Applicable,Mobile home/trailer park,89,-0.18460740711594367,-0.0910808702943546,88.7243117225897,Missing,Drinking water,Present,Community,Drinking/Community Water,Not Applicable,Missing/NA,0,1,0
1971-11-01,1971,11,Fall,Texas,TX,Water,Hepatitis A,Not Applicable,Not Applicable,Farm/dairy/agricultural setting,3,-0.18460740711594367,-0.0910808702943546,2.7243117225897016,Missing,Drinking water,Present,Individual/Private,Drinking/Community Water,Not Applicable,Missing/NA,0,1,0
1971-12-01,1971,12,Winter,California,CA,Water,Unknown,Not Applicable,Not Applicable,Hotel/motel,84,-0.18460740711594367,-0.0910808702943546,83.7243117225897,Missing,Drinking water,Present,Other,Natural/Other,Not Applicable,Missing/NA,0,1,0
1972-03-01,1972,3,Spring,New York,NY,Water,Unknown,Not Applicable,Not Applicable,Restaurant,21,-0.18460740711594367,-0.0910808702943546,20.7243117225897,Missing,Drinking water,Present,Other,Natural/Other,Not Applicable,Missing/NA,0,1,0
1972-03-01,1972,3,Spring,Alaska,AK,Water,Unknown,Not Applicable,Not Applicable,Community/municipality,400,-0.18460740711594367,-0.0910808702943546,399.7243117225897,Missing,Drinking water,Present,Community,Drinking/Community Water,Not Applicable,Missing/NA,0,1,0
1972-04-01,1972,4,Spring,Indiana,IN,Water,Shigella sonnei,Not Applicable,Not Applicable,Park - Other/Unspecified,2,-0.18460740711594367,-0.0910808702943546,1.7243117225897018,Missing,Drinking water,Present,Other,Natural/Other,Not Applicable,Missing/NA,0,1,0
1972-04-01,1972,4,Spring,Colorado,CO,Water,Unknown,Not Applicable,Not Applicable,Resort,25,-0.18460740711594367,-0.0910808702943546,24.7243117225897,Missing,Drinking water,Present,Other,Natural/Other,Not Applicable,Missing/NA,0,1,0
1972-04-01,1972,4,Spring,Colorado,CO,Water,Unknown,Not Applicable,Not Applicable,Camp/cabin,142,-0.18460740711594367,-0.0910808702943546,141.7243117225897,Missing,Drinking water,Present,Other,Natural/Other,Not Applicable,Missing/NA,0,1,0
1972-05-01,1972,5,Spring,Oregon,OR,Water,Unknown,Not Applicable,Not Applicable,Resort,37,-0.18460740711594367,-0.0910808702943546,36.724311722589704,Missing,Drinking water,Present,Other,Natural/Other,Not Applicable,Missing/NA,0,1,0
1972-05-01,1972,5,Spring,Ohio,OH,Water,Hepatitis A,Not Applicable,Not Applicable,Mobile home/trailer park,9,-0.18460740711594367,-0.0910808702943546,8.724311722589702,Missing,Drinking water,Present,Community,Drinking/Community Water,Not Applicable,Missing/NA,0,1,0
1972-05-01,1972,5,Spring,Minnesota,MN,Water,Arsenic,Not Applicable,Not Applicable,Office/indoor workplace,11,-0.18460740711594367,-0.0910808702943546,10.724311722589702,Missing,Drinking water,Present,Other,Natural/Other,Not Applicable,Missing/NA,0,1,0
1972-05-01,1972,5,Spring,Illinois,IL,Water,Unknown,Not Applicable,Not Applicable,Park - State Park,90,-0.18460740711594367,-0.0910808702943546,89.7243117225897,Missing,Drinking water,Present,Other,Natural/Other,Not Applicable,Missing/NA,0,1,0
1972-05-01,1972,5,Spring,Florida,FL,Water,Unknown,Not Applicable,Not Applicable,Park - State Park,40,-0.18460740711594367,-0.0910808702943546,39.724311722589704,Missing,Drinking water,Present,Other,Natural/Other,Not Applicable,Missing/NA,0,1,0
1972-05-01,1972,5,Spring,Colorado,CO,Water,Giardia duodenalis,Not Applicable,Not Applicable,Camp/cabin,28,-0.18460740711594367,-0.0910808702943546,27.7243117225897,Missing,Drinking water,Present,Other,Natural/Other,Not Applicable,Missing/NA,0,1,0
1972-05-01,1972,5,Spring,Colorado,CO,Water,Giardia duodenalis,Not Applicable,Not Applicable,Hotel/motel,24,-0.18460740711594367,-0.0910808702943546,23.7243117225897,Missing,Drinking water,Present,Other,Natural/Other,Not Applicable,Missing/NA,0,1,0
1972-05-01,1972,5,Spring,California,CA,Water,Unknown,Not Applicable,Not Applicable,Resort,26,-0.18460740711594367,-0.0910808702943546,25.7243117225897,Missing,Drinking water,Present,Other,Natural/Other,Not Applicable,Missing/NA,0,1,0
1972-06-01,1972,6,Summer,Pennsylvania,PA,Water,Fluoride,Not Applicable,Not Applicable,School/college/university,150,-0.18460740711594367,-0.0910808702943546,149.7243117225897,Missing,Drinking water,Present,Other,Natural/Other,Not Applicable,Missing/NA,0,1,0
1972-06-01,1972,6,Summer,Washington,WA,Water,Salmonella enterica,Typhi,Not Applicable,Private home/residence,5,-0.18460740711594367,-0.0910808702943546,4.724311722589702,Missing,Drinking water,Present,Individual/Private,Drinking/Community Water,Not Applicable,Missing/NA,0,1,0
1972-06-01,1972,6,Summer,Maryland,MD,Water,Unknown,Not Applicable,Not Applicable,Camp/cabin,88,-0.18460740711594367,-0.0910808702943546,87.7243117225897,Missing,Drinking water,Present,Other,Natural/Other,Not Applicable,Missing/NA,0,1,0
1972-06-01,1972,6,Summer,Massachusetts,MA,Water,Unknown,Not Applicable,Not Applicable,Unknown,3,-0.18460740711594367,-0.0910808702943546,2.7243117225897016,Missing,Drinking water,Present,Community,Drinking/Community Water,Not Applicable,Missing/NA,0,1,0
