year,month,date,season,state,state_abbr,primary_mode,setting,etiology,etiology_grouped,ifsac_category,food_vehicle,water_exposure,water_type,water_type_group,animal_type,animal_group,illnesses,hospitalizations,deaths,illnesses_std,hospitalizations_std,deaths_std,hosp_per_ill,death_per_ill,food_vehicle_missing,water_exposure_missing,is_food_related,is_water_related,is_animal_related
1971,8,1971-08-01,Summer,New Jersey,NJ,Water,Camp/cabin,Shigella sonnei,Other,Not Applicable,Not Applicable,Drinking water,Other,Natural/Other,Not Applicable,Other/Unknown,67.0,0.0,0.0,0.02157167299904139,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1971,8,1971-08-01,Summer,Oklahoma,OK,Water,Unknown,Hepatitis A,Hepatitis,Not Applicable,Not Applicable,Drinking water,Individual/Private,Drinking/Community Water,Not Applicable,Other/Unknown,6.0,0.0,0.0,-0.017418834480880625,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1971,8,1971-08-01,Summer,New Mexico,NM,Water,Other,Unknown,Unknown,Not Applicable,Not Applicable,Other/Environmental water,Not Applicable,Other,Not Applicable,Other/Unknown,10.0,0.0,0.0,-0.014862079892033279,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1971,9,1971-09-01,Fall,North Carolina,NC,Water,Private home/residence,Hepatitis A,Hepatitis,Not Applicable,Not Applicable,Drinking water,Individual/Private,Drinking/Community Water,Not Applicable,Other/Unknown,2.0,0.0,0.0,-0.01997558906972797,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1971,9,1971-09-01,Fall,North Carolina,NC,Water,Mobile home/trailer park,Unknown,Unknown,Not Applicable,Not Applicable,Drinking water,Community,Drinking/Community Water,Not Applicable,Other/Unknown,38.0,0.0,1.0,0.0030352022298981386,-0.18461090152626927,2.352031511888739,0.0,0.02631578947368421,Missing,Present,0,1,0
1971,11,1971-11-01,Fall,Oklahoma,OK,Water,Community/municipality,Hepatitis A,Hepatitis,Not Applicable,Not Applicable,Drinking water,Community,Drinking/Community Water,Not Applicable,Other/Unknown,50.0,0.0,0.0,0.010705465996440174,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1971,11,1971-11-01,Fall,New York,NY,Water,Restaurant,Unknown,Unknown,Not Applicable,Not Applicable,Drinking water,Other,Natural/Other,Not Applicable,Other/Unknown,750.0,0.0,0.0,0.45813751904472566,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1971,11,1971-11-01,Fall,Alaska,AK,Water,Mobile home/trailer park,Shigella sonnei,Other,Not Applicable,Not Applicable,Drinking water,Community,Drinking/Community Water,Not Applicable,Other/Unknown,89.0,0.0,0.0,0.03563382323770179,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1971,11,1971-11-01,Fall,Texas,TX,Water,Farm/dairy/agricultural setting,Hepatitis A,Hepatitis,Not Applicable,Not Applicable,Drinking water,Individual/Private,Drinking/Community Water,Not Applicable,Other/Unknown,3.0,0.0,0.0,-0.019336400422516133,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1971,12,1971-12-01,Winter,California,CA,Water,Hotel/motel,Unknown,Unknown,Not Applicable,Not Applicable,Drinking water,Other,Natural/Other,Not Applicable,Other/Unknown,84.0,0.0,0.0,0.03243788000164261,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1972,3,1972-03-01,Spring,New York,NY,Water,Restaurant,Unknown,Unknown,Not Applicable,Not Applicable,Drinking water,Other,Natural/Other,Not Applicable,Other/Unknown,21.0,0.0,0.0,-0.00783100477270308,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1972,3,1972-03-01,Spring,Alaska,AK,Water,Community/municipality,Unknown,Unknown,Not Applicable,Not Applicable,Drinking water,Community,Drinking/Community Water,Not Applicable,Other/Unknown,400.0,0.0,0.0,0.2344214925205829,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1972,4,1972-04-01,Spring,Indiana,IN,Water,Park - Other/Unspecified,Shigella sonnei,Other,Not Applicable,Not Applicable,Drinking water,Other,Natural/Other,Not Applicable,Other/Unknown,2.0,0.0,0.0,-0.01997558906972797,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1972,4,1972-04-01,Spring,Colorado,CO,Water,Resort,Unknown,Unknown,Not Applicable,Not Applicable,Drinking water,Other,Natural/Other,Not Applicable,Other/Unknown,25.0,0.0,0.0,-0.005274250183855734,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1972,4,1972-04-01,Spring,Colorado,CO,Water,Camp/cabin,Unknown,Unknown,Not Applicable,Not Applicable,Drinking water,Other,Natural/Other,Not Applicable,Other/Unknown,142.0,0.0,0.0,0.06951082153992912,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1972,5,1972-05-01,Spring,Oregon,OR,Water,Resort,Unknown,Unknown,Not Applicable,Not Applicable,Drinking water,Other,Natural/Other,Not Applicable,Other/Unknown,37.0,0.0,0.0,0.002396013582686302,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1972,5,1972-05-01,Spring,Ohio,OH,Water,Mobile home/trailer park,Hepatitis A,Hepatitis,Not Applicable,Not Applicable,Drinking water,Community,Drinking/Community Water,Not Applicable,Other/Unknown,9.0,0.0,0.0,-0.015501268539245116,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1972,5,1972-05-01,Spring,Minnesota,MN,Water,Office/indoor workplace,Arsenic,Other,Not Applicable,Not Applicable,Drinking water,Other,Natural/Other,Not Applicable,Other/Unknown,11.0,0.0,0.0,-0.014222891244821442,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1972,5,1972-05-01,Spring,Illinois,IL,Water,Park - State Park,Unknown,Unknown,Not Applicable,Not Applicable,Drinking water,Other,Natural/Other,Not Applicable,Other/Unknown,90.0,0.0,0.0,0.03627301188491363,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1972,5,1972-05-01,Spring,Florida,FL,Water,Park - State Park,Unknown,Unknown,Not Applicable,Not Applicable,Drinking water,Other,Natural/Other,Not Applicable,Other/Unknown,40.0,0.0,0.0,0.004313579524321811,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1972,5,1972-05-01,Spring,Colorado,CO,Water,Camp/cabin,Giardia duodenalis,Other,Not Applicable,Not Applicable,Drinking water,Other,Natural/Other,Not Applicable,Other/Unknown,28.0,0.0,0.0,-0.0033566842422202248,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1972,5,1972-05-01,Spring,Colorado,CO,Water,Hotel/motel,Giardia duodenalis,Other,Not Applicable,Not Applicable,Drinking water,Other,Natural/Other,Not Applicable,Other/Unknown,24.0,0.0,0.0,-0.00591343883106757,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1972,5,1972-05-01,Spring,California,CA,Water,Resort,Unknown,Unknown,Not Applicable,Not Applicable,Drinking water,Other,Natural/Other,Not Applicable,Other/Unknown,26.0,0.0,0.0,-0.004635061536643897,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1972,6,1972-06-01,Summer,Pennsylvania,PA,Water,School/college/university,Fluoride,Other,Not Applicable,Not Applicable,Drinking water,Other,Natural/Other,Not Applicable,Other/Unknown,150.0,0.0,0.0,0.07462433071762381,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1972,6,1972-06-01,Summer,Washington,WA,Water,Private home/residence,Salmonella enterica,Salmonella,Not Applicable,Not Applicable,Drinking water,Individual/Private,Drinking/Community Water,Not Applicable,Other/Unknown,5.0,0.0,0.0,-0.01805802312809246,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
1972,6,1972-06-01,Summer,Maryland,MD,Water,Camp/cabin,Unknown,Unknown,Not Applicable,Not Applicable,Drinking water,Other,Natural/Other,Not Applicable,Other/Unknown,88.0,0.0,0.0,0.03499463459048996,-0.18461090152626927,-0.09101070221646372,0.0,0.0,Missing,Present,0,1,0
