"Year","Month","Date","Season","State","Region","Primary_mode","Setting","Setting_group","Etiology","Etiology_group","IFSAC_category","Food_vehicle","Water_exposure","Water_type","Water_type_group","Animal_type","Animal_type_group","Illnesses","Hospitalizations","Deaths","Hospitalizations_std","Deaths_std","Illnesses_std","Hosp_per_ill","Death_per_ill","Food_vehicle_missing","Water_exposure_missing","is_food_related","is_water_related","is_animal_related"
1971,2,"1971-02","Winter","California","West","Water","Restaurant","Food Service","Copper","Other",NA,NA,"Drinking water","Community","Drinking/Community Water",NA,"Other/Unknown",2,0,0,-0.184606023516803,-0.0910801876596986,-0.0199766041269386,0,0,"Missing","Present",0,1,0
1971,6,"1971-06","Summer","Arkansas","South","Water","Store","Food Service","Hepatitis A","Hepatitis",NA,NA,"Drinking water","Other","Natural/Other",NA,"Other/Unknown",98,0,0,-0.184606023516803,-0.0910801876596986,0.0413882638602587,0,0,"Missing","Present",0,1,0
1971,6,"1971-06","Summer","Missouri","Midwest","Water","Subdivision/Neighborhood","Community/Public","Unknown","Unknown",NA,NA,"Drinking water","Community","Drinking/Community Water",NA,"Other/Unknown",2,0,0,-0.184606023516803,-0.0910801876596986,-0.0199766041269386,0,0,"Missing","Present",0,1,0
1971,6,"1971-06","Summer","Alabama","South","Water","Unknown","Unknown","Selenium","Other",NA,NA,"Drinking water","Individual/Private","Drinking/Community Water",NA,"Other/Unknown",3,0,0,-0.184606023516803,-0.0910801876596986,-0.019337386752072,0,0,"Missing","Present",0,1,0
1971,6,"1971-06","Summer","Vermont","Northeast","Water","Community/municipality","Community/Public","Unknown","Unknown",NA,NA,"Drinking water","Community","Drinking/Community Water",NA,"Other/Unknown",3,0,0,-0.184606023516803,-0.0910801876596986,-0.019337386752072,0,0,"Missing","Present",0,1,0
1971,6,"1971-06","Summer","Oregon","West","Water","Restaurant","Food Service","Unknown","Unknown",NA,NA,"Drinking water","Other","Natural/Other",NA,"Other/Unknown",200,0,0,-0.184606023516803,-0.0910801876596986,0.106588436096656,0,0,"Missing","Present",0,1,0
1971,7,"1971-07","Summer","New Jersey","Northeast","Water","Camp/cabin","Recreation/Outdoors","Hepatitis A","Hepatitis",NA,NA,"Drinking water","Other","Natural/Other",NA,"Other/Unknown",22,0,0,-0.184606023516803,-0.0910801876596986,-0.00719225662960585,0,0,"Missing","Present",0,1,0
1971,7,"1971-07","Summer","Mississippi","South","Water","Camp/cabin","Recreation/Outdoors","Shigella sonnei","Other",NA,NA,"Drinking water","Community","Drinking/Community Water",NA,"Other/Unknown",187,0,0,-0.184606023516803,-0.0910801876596986,0.0982786102233896,0,0,"Missing","Present",0,1,0
1971,7,"1971-07","Summer","Kentucky","South","Water","Park - State Park","Recreation/Outdoors","Unknown","Unknown",NA,NA,"Drinking water","Other","Natural/Other",NA,"Other/Unknown",68,0,0,-0.184606023516803,-0.0910801876596986,0.0222117426142595,0,0,"Missing","Present",0,1,0
1971,7,"1971-07","Summer","California","West","Water","Community/municipality","Community/Public","Unknown","Unknown",NA,NA,"Drinking water","Community","Drinking/Community Water",NA,"Other/Unknown",3500,0,0,-0.184606023516803,-0.0910801876596986,2.21600577315656,0,0,"Missing","Present",0,1,0
